Id,SalePrice
1461,133523.347607053
1462,161603.034759358
1463,133523.347607053
1464,161603.034759358
1465,274735.535714286
1466,161603.034759358
1467,161603.034759358
1468,161603.034759358
1469,207716.423197492
1470,103417.602836879
1471,207716.423197492
1472,161603.034759358
1473,133523.347607053
1474,161603.034759358
1475,207716.423197492
1476,372180.811320755
1477,274735.535714286
1478,372180.811320755
1479,274735.535714286
1480,372180.811320755
1481,274735.535714286
1482,274735.535714286
1483,161603.034759358
1484,207716.423197492
1485,207716.423197492
1486,207716.423197492
1487,274735.535714286
1488,274735.535714286
1489,207716.423197492
1490,161603.034759358
1491,207716.423197492
1492,133523.347607053
1493,161603.034759358
1494,274735.535714286
1495,274735.535714286
1496,207716.423197492
1497,207716.423197492
1498,207716.423197492
1499,207716.423197492
1500,161603.034759358
1501,161603.034759358
1502,207716.423197492
1503,274735.535714286
1504,274735.535714286
1505,207716.423197492
1506,161603.034759358
1507,161603.034759358
1508,161603.034759358
1509,161603.034759358
1510,133523.347607053
1511,133523.347607053
1512,133523.347607053
1513,161603.034759358
1514,133523.347607053
1515,133523.347607053
1516,161603.034759358
1517,161603.034759358
1518,133523.347607053
1519,207716.423197492
1520,133523.347607053
1521,133523.347607053
1522,161603.034759358
1523,103417.602836879
1524,133523.347607053
1525,133523.347607053
1526,133523.347607053
1527,103417.602836879
1528,161603.034759358
1529,133523.347607053
1530,161603.034759358
1531,103417.602836879
1532,133523.347607053
1533,133523.347607053
1534,161603.034759358
1535,133523.347607053
1536,133523.347607053
1537,103417.602836879
1538,274735.535714286
1539,274735.535714286
1540,133523.347607053
1541,161603.034759358
1542,133523.347607053
1543,207716.423197492
1544,103417.602836879
1545,161603.034759358
1546,161603.034759358
1547,133523.347607053
1548,161603.034759358
1549,133523.347607053
1550,133523.347607053
1551,161603.034759358
1552,103417.602836879
1553,161603.034759358
1554,161603.034759358
1555,133523.347607053
1556,133523.347607053
1557,133523.347607053
1558,161603.034759358
1559,103417.602836879
1560,133523.347607053
1561,103417.602836879
1562,133523.347607053
1563,133523.347607053
1564,133523.347607053
1565,133523.347607053
1566,207716.423197492
1567,103417.602836879
1568,161603.034759358
1569,103417.602836879
1570,161603.034759358
1571,103417.602836879
1572,133523.347607053
1573,207716.423197492
1574,133523.347607053
1575,207716.423197492
1576,161603.034759358
1577,207716.423197492
1578,161603.034759358
1579,133523.347607053
1580,207716.423197492
1581,133523.347607053
1582,133523.347607053
1583,274735.535714286
1584,207716.423197492
1585,161603.034759358
1586,103417.602836879
1587,133523.347607053
1588,133523.347607053
1589,103417.602836879
1590,161603.034759358
1591,103417.602836879
1592,133523.347607053
1593,161603.034759358
1594,103417.602836879
1595,133523.347607053
1596,207716.423197492
1597,133523.347607053
1598,207716.423197492
1599,274735.535714286
1600,274735.535714286
1601,103417.602836879
1602,161603.034759358
1603,103417.602836879
1604,274735.535714286
1605,274735.535714286
1606,161603.034759358
1607,161603.034759358
1608,207716.423197492
1609,207716.423197492
1610,133523.347607053
1611,133523.347607053
1612,133523.347607053
1613,133523.347607053
1614,133523.347607053
1615,103417.602836879
1616,103417.602836879
1617,103417.602836879
1618,133523.347607053
1619,133523.347607053
1620,133523.347607053
1621,133523.347607053
1622,133523.347607053
1623,274735.535714286
1624,161603.034759358
1625,161603.034759358
1626,161603.034759358
1627,161603.034759358
1628,274735.535714286
1629,207716.423197492
1630,274735.535714286
1631,274735.535714286
1632,274735.535714286
1633,207716.423197492
1634,161603.034759358
1635,161603.034759358
1636,161603.034759358
1637,133523.347607053
1638,207716.423197492
1639,161603.034759358
1640,207716.423197492
1641,161603.034759358
1642,207716.423197492
1643,274735.535714286
1644,274735.535714286
1645,133523.347607053
1646,161603.034759358
1647,207716.423197492
1648,133523.347607053
1649,133523.347607053
